raceId,driverId,constructorId,grid,laps,top3
47,9,2,5,58,0
47,21,4,10,58,0
47,14,9,13,58,0
47,25,3,14,58,0
47,23,7,16,57,0
47,18,11,21,57,0
47,19,8,11,57,0
47,24,5,15,57,0
47,15,7,9,57,0
47,22,11,22,57,0
47,11,8,17,57,0
47,20,5,18,57,0
47,29,12,20,56,0
47,16,12,19,53,0
47,17,9,12,9,0
48,4,1,1,53,1
48,1,1,2,53,1
48,8,6,5,53,1
48,2,2,4,53,0
48,9,2,6,53,0
48,3,3,8,53,0
48,5,4,7,53,0
48,18,11,10,53,0
48,17,9,11,53,0
48,22,11,12,53,0
48,15,7,9,53,0
48,21,4,15,52,0
48,25,3,13,52,0
48,19,8,14,52,0
48,23,7,18,52,0
48,11,8,17,52,0
48,24,5,19,52,0
48,20,5,16,52,0
48,16,12,21,52,0
48,29,12,22,52,0
48,13,6,3,10,0
48,14,9,20,1,0
49,8,6,1,44,1
49,13,6,2,44,1
49,4,1,3,44,1
49,1,1,4,44,0
49,2,2,6,44,0
49,3,3,5,44,0
49,17,9,7,44,0
49,5,4,9,44,0
49,9,2,14,44,0
49,23,7,10,44,0
49,15,7,8,44,0
49,24,5,13,43,0
49,22,11,17,43,0
49,16,12,19,43,0
49,11,8,18,43,0
49,19,8,20,43,0
49,29,12,21,43,0
49,18,11,12,36,0
49,25,3,15,34,0
49,14,9,11,29,0
49,20,5,16,8,0
49,21,4,22,1,0
50,1,1,1,67,1
50,5,4,11,67,1
50,8,6,3,67,1
50,14,9,12,67,0
50,21,4,10,67,0
50,13,6,4,67,0
50,9,2,9,67,0
50,16,12,20,67,0
50,24,5,14,67,0
50,22,11,17,67,0
50,18,11,6,66,0
50,29,12,22,66,0
50,15,7,13,66,0
50,2,2,5,65,0
50,11,8,21,65,0
50,23,7,15,55,0
50,19,8,19,54,0
50,3,3,16,49,0
50,20,5,8,46,0
50,17,9,7,45,0
50,4,1,2,41,0
50,25,3,18,19,0
51,8,6,2,56,1
51,4,1,4,56,1
51,13,6,3,56,1
51,20,5,17,56,0
51,18,11,10,56,0
51,24,5,11,56,0
51,2,2,8,56,0
51,14,9,5,56,0
51,5,4,13,56,0
51,17,9,7,56,0
51,21,4,18,56,0
51,25,3,19,55,0
51,15,7,12,55,0
51,11,8,20,55,0
51,22,11,16,55,0
51,3,3,15,54,0
51,29,12,22,53,0
51,9,2,9,33,0
51,1,1,1,30,0
51,23,7,6,25,0
51,16,12,21,24,0
51,19,8,14,11,0
52,8,6,3,71,1
52,13,6,1,71,1
52,4,1,4,71,1
52,3,3,10,71,0
52,9,2,7,71,0
52,2,2,6,71,0
52,1,1,2,70,0
52,15,7,8,70,0
52,14,9,9,70,0
52,6,3,19,70,0
52,23,7,15,70,0
52,11,8,18,69,0
52,24,5,14,69,0
52,19,8,20,68,0
52,16,12,21,43,0
52,22,11,11,40,0
52,5,4,17,35,0
52,20,5,13,34,0
52,18,11,16,20,0
52,17,9,5,14,0
52,29,12,22,2,0
52,21,4,12,2,0
53,4,4,4,57,1
53,30,6,1,57,1
53,8,1,22,57,1
53,18,11,3,57,0
53,31,1,5,57,0
53,17,3,7,57,0
53,3,3,12,57,0
53,32,9,8,57,0
53,13,6,2,57,0
53,14,9,13,57,0
53,24,5,15,57,0
53,2,2,10,56,0
53,26,5,16,56,0
