team1,team2,venue,toss_winner,toss_decision,winner
14,13,25,13,1,13
0,10,37,10,1,10
6,8,55,8,1,8
0,8,26,0,0,8
14,2,11,2,1,2
2,0,11,0,1,0
8,0,41,8,0,8
8,0,50,0,1,0
2,10,13,10,1,2
13,14,13,14,1,13
11,0,49,0,1,11
8,6,50,6,1,8
10,13,13,13,1,10
2,0,13,0,1,2
14,6,50,14,0,6
10,11,49,11,1,11
13,8,13,8,1,13
14,2,50,2,1,14
6,11,13,11,1,6
8,10,50,10,1,8
14,0,13,14,0,14
11,13,50,11,0,13
2,6,49,6,1,2
10,0,13,10,0,0
8,14,49,8,0,8
2,13,13,13,1,2
8,11,50,8,0,8
6,0,50,6,0,6
14,10,13,14,0,14
2,11,49,11,1,2
6,10,50,6,0,6
13,0,13,13,0,13
14,11,13,14,0,11
2,8,50,2,0,8
13,6,49,13,0,13
0,14,13,0,0,0
2,11,13,2,0,2
13,10,49,13,0,10
6,8,50,6,0,8
0,2,49,0,0,2
11,13,13,11,0,13
6,14,50,14,1,6
8,10,13,8,0,10
0,11,50,0,0,11
2,10,13,2,0,10
6,13,50,6,0,13
11,14,13,14,1,14
0,8,49,8,1,8
6,2,50,2,1,6
10,14,13,14,1,10
8,11,50,8,0,11
13,0,13,13,0,0
6,10,49,10,1,10
14,2,13,2,1,14
13,8,50,8,1,8
6,0,13,0,1,0
10,11,50,11,1,11
13,14,49,14,1,14
2,8,13,8,1,8
10,0,50,0,1,0
6,11,13,11,1,6
13,2,50,2,1,2
8,14,49,14,1,14
8,2,13,2,1,8
13,14,50,14,1,14
2,14,50,2,0,2
2,8,13,2,0,8
8,13,28,13,1,13
0,2,56,2,1,2
6,14,28,14,1,6
10,11,56,11,1,10
8,6,28,6,1,8
13,14,28,14,1,13
2,11,56,11,1,11
10,0,56,0,1,0
8,14,28,8,0,8
13,6,28,13,0,13
10,2,56,2,1,2
0,11,56,11,1,0
8,2,28,8,0,2
10,14,28,10,0,14
0,6,56,6,1,0
11,13,56,13,1,13
8,10,28,10,1,10
6,11,56,11,1,11
0,13,56,0,0,0
2,14,28,2,0,2
10,6,32,6,1,6
13,2,32,2,1,13
14,0,1,14,0,0
11,8,1,8,1,8
6,2,32,2,1,2
10,13,32,13,1,10
0,8,1,8,1,8
11,14,1,14,1,11
